RestaurantID,CountryCode,Country,City,Cuisines,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Average_Cost_for_two,Rating,Datekey_Opening,Average Ratings,Price Range
18295781,1,India,Vadodara,"Cafe, Mexican, Italian, Fast Food",No,No,No,No,500,3.8,2015-06-26,3-3.99,401-600
3200311,1,India,Vadodara,"Mediterranean, Italian",No,No,No,No,1300,4.6,2017-06-23,4-4.99,1001-2000
3200497,1,India,Vadodara,"North Indian, Thai, Italian, Chinese, Mexican",No,No,No,No,800,3.5,2014-06-25,3-3.99,601-800
2800903,1,India,Vizag,"Chinese, Thai, Burmese, Vietnamese, Tibetan, Japanese",No,No,No,No,1300,4.4,2010-06-01,4-4.99,1001-2000
2800083,1,India,Vizag,"Andhra, North Indian, Chinese",No,No,No,No,600,3.5,2011-06-20,3-3.99,401-600
18306045,1,India,Vizag,"Mughlai, Chinese, Cafe, BBQ, Cajun",No,No,No,No,500,3.6,2012-06-17,3-3.99,401-600
166,1,India,Noida,"North Indian, Mughlai",Yes,Yes,No,No,2000,3.7,2011-01-18,3-3.99,1001-2000
93766,1,India,Hyderabad,"Mediterranean, Italian, European",Yes,Yes,No,No,2000,4.4,2013-05-04,4-4.99,1001-2000
3400392,1,India,Agra,"North Indian, Fast Food",No,No,No,No,700,4.1,2016-05-09,4-4.99,601-800
111826,1,India,Ahmedabad,"Continental, Italian, Chinese",No,No,No,No,1200,4.1,2018-05-01,4-4.99,1001-2000
2400019,1,India,Allahabad,"North Indian, Street Food, Fast Food",No,No,No,No,500,3.2,2015-05-25,3-3.99,401-600
2200236,1,India,Amritsar,North Indian,No,No,No,No,400,3.8,2015-05-23,3-3.99,201-400
2200055,1,India,Amritsar,North Indian,No,No,No,No,500,3.8,2016-05-11,3-3.99,401-600
2500030,1,India,Aurangabad,North Indian,No,No,No,No,450,3.7,2012-05-28,3-3.99,401-600
18366652,1,India,Bangalore,"Pizza, Cafe, Italian",No,No,No,No,600,4.6,2012-05-28,4-4.99,401-600
18430785,1,India,Bangalore,Continental,No,No,No,No,1200,4.2,2015-05-19,4-4.99,1001-2000
18461339,1,India,Bhopal,"Fast Food, Mexican, Tex-Mex",No,No,No,No,350,3.6,2016-05-04,3-3.99,201-400
2900469,1,India,Bhubaneshwar,"North Indian, Chinese",No,No,No,No,450,3.6,2013-05-05,3-3.99,401-600
18377283,1,India,Bhubaneshwar,"Cafe, Tea",No,No,No,No,500,3.8,2010-05-10,3-3.99,401-600
3000014,1,India,Coimbatore,"South Indian, North Indian, Chinese",No,No,No,No,400,4.3,2018-05-19,4-4.99,201-400
